34 1

4	8	0.268631997
3	9	0.106657834
3	1	0.113613779
4	1	0.293805896
4	3	0.290162305
4	5	0.280556476
3	3	0.115269957
3	5	0.118913548
5	7	0.693607155
5	1	0.464060947
5	3	0.417356741
6	6	1
11	9	0.077840344
11	1	0.082146406
11	3	0.084133819
11	5	0.088108645
12	8	0.067240808
12	1	0.097383239
12	3	0.107982776
12	5	0.124544551
13	7	0.150049685
13	1	0.198741305
13	3	0.196422657
13	5	0.175886055
14	6	0.347466048
14	1	0.217290494
19	9	0.077840344
19	1	0.07154687
19	3	0.071215634
19	5	0.070553163
20	8	0.038092083
20	1	0.003974826
20	3	0.00662471
20	5	0.010268301
29	9	0.119907254
29	1	0.177873468
29	3	0.176548526
29	5	0.193441537
30	8	0.159986751
30	1	0.217290494
30	3	0.211990725
30	5	0.206028486
31	7	0.269625704
31	1	0.239152037
31	3	0.215965552
31	5	0.178535939
32	3	0.193110301
37	9	0.0811527
37	1	0.072871812
37	3	0.071878105
37	5	0.070221928
38	8	0.052997681
38	1	0.003974826
38	3	0.001987413
38	5	0
47	9	0.074527989
47	1	0.111626366
47	3	0.116263663
47	5	0.138456443
48	8	0.097383239
48	1	0.149387214
48	3	0.153693276
48	5	0.163630341
49	7	0.175886055
49	1	0.182510765
49	3	0.166611461
49	5	0.152699569
50	5	0.131500497
5	5	0.318648559
55	9	0.089102352
55	1	0.075852931
55	3	0.073865518
55	5	0.07154687
56	8	0.094733355
56	1	0.018217953
56	3	0.010268301
56	5	0
32	6	0.39383902
50	6	0.275256708
32	1	0.213646903
50	1	0.171248758
50	3	0.155018218
         	
