2 1
3	9	-0.059
3	17	-0.038
3	35	-0.033
3	53	-0.022
4	8	0.43
4	16	0.506
4	34	0.495
4	52	0.466
5	7	1.713
5	15	1.02
5	33	0.879
6	6	2.638
11	9	-0.146
11	17	-0.133
11	35	-0.127
11	53	-0.115
12	8	-0.178
12	16	-0.087
12	34	-0.055
12	52	-0.005
13	7	0.072
13	15	0.219
13	33	0.212
13	51	0.15
14	6	0.668
14	14	0.275
19	9	-0.146
19	17	-0.165
19	35	-0.166
19	53	-0.168
20	8	-0.266
20	16	-0.369
20	34	-0.361
20	52	-0.35
29	9	-0.019
29	17	0.156
29	35	0.152
29	53	0.203
30	8	0.102
30	16	0.275
30	34	0.259
30	52	0.241
31	7	0.433
31	15	0.341
31	33	0.271
31	51	0.158
32	32	0.202
37	9	-0.136
37	17	-0.161
37	35	-0.164
37	53	-0.169
38	8	-0.221
38	16	-0.369
38	34	-0.375
38	52	-0.381
47	9	-0.156
47	17	-0.044
47	35	-0.03
47	53	0.037
48	8	-0.087
48	16	0.07
48	34	0.083
48	52	0.113
49	7	0.15
49	15	0.17
49	33	0.122
49	51	0.08
50	50	0.016
5	51	0.581
55	9	-0.112
55	17	-0.152
55	35	-0.158
55	53	-0.165
56	8	-0.095
56	16	-0.326
56	34	-0.35
56	52	-0.381
32	6	0.808
50	6	0.45
32	14	0.264
50	14	0.136
50	32	0.087
